Symbol,Company Name,"Market capitalization as on December 30, 2022
(Rs in Lakhs)",Link
RELIANCE,Reliance Industries Limited,172329584.148608,https://www.screener.in/company/RELIANCE/
TCS,Tata Consultancy Services Limited,119164326.06449099,https://www.screener.in/company/TCS/
HDFCBANK,HDFC Bank Limited,90797942.979974,https://www.screener.in/company/HDFCBANK/
INFY,Infosys Limited,63466275.27412599,https://www.screener.in/company/INFY/
ICICIBANK,ICICI Bank Limited,62149392.6978855,https://www.screener.in/company/ICICIBANK/
HINDUNILVR,Hindustan Unilever Limited,60174207.015451,https://www.screener.in/company/HINDUNILVR/
SBIN,State Bank of India,54770342.211558,https://www.screener.in/company/SBIN/
HDFC,Housing Development Finance Corporation Limited,48044948.218848,https://www.screener.in/company/HDFC/
BHARTIARTL,Bharti Airtel Limited,44854794.190587,https://www.screener.in/company/BHARTIARTL/
ADANIENT,Adani Enterprises Limited,43985233.25210349,https://www.screener.in/company/ADANIENT/
LICI,Life Insurance Corporation Of India,43300934.261046,https://www.screener.in/company/LICI/
ITC,ITC Limited,41153010.496131,https://www.screener.in/company/ITC/
ATGL,Adani Total Gas Limited,40614336.6500655,https://www.screener.in/company/ATGL/
BAJFINANCE,Bajaj Finance Limited,39808182.928216,https://www.screener.in/company/BAJFINANCE/
KOTAKBANK,Kotak Mahindra Bank Limited,36285746.663675,https://www.screener.in/company/KOTAKBANK/
ADANIGREEN,Adani Green Energy Limited,30600339.410003997,https://www.screener.in/company/ADANIGREEN/
ASIANPAINT,Asian Paints Limited,29619068.55741,https://www.screener.in/company/ASIANPAINT/
LT,Larsen & Toubro Limited,29313084.960966002,https://www.screener.in/company/LT/
ADANITRANS,Adani Transmission Limited,28882894.2945775,https://www.screener.in/company/ADANITRANS/
AXISBANK,Axis Bank Limited,28711055.4066,https://www.screener.in/company/AXISBANK/
HCLTECH,HCL Technologies Limited,28203121.342727996,https://www.screener.in/company/HCLTECH/
DMART,Avenue Supermarts Limited,26356332.7400625,https://www.screener.in/company/DMART/
MARUTI,Maruti Suzuki India Limited,25358412.71676,https://www.screener.in/company/MARUTI/
BAJAJFINSV,Bajaj Finserv Limited,24654394.09761,https://www.screener.in/company/BAJAJFINSV/
SUNPHARMA,Sun Pharmaceutical Industries Limited,24026940.38958,https://www.screener.in/company/SUNPHARMA/
TITAN,Titan Company Limited,23060245.506,https://www.screener.in/company/TITAN/
WIPRO,Wipro Limited,21549260.370715,https://www.screener.in/company/WIPRO/
ULTRACEMCO,UltraTech Cement Limited,20089209.5456255,https://www.screener.in/company/ULTRACEMCO/
JSWSTEEL,JSW Steel Limited,18565461.58942,https://www.screener.in/company/JSWSTEEL/
ONGC,Oil & Natural Gas Corporation Limited,18461559.734805,https://www.screener.in/company/ONGC/
ADANIPORTS,Adani Ports and Special Economic Zone Limited,17672096.709045,https://www.screener.in/company/ADANIPORTS/
NTPC,NTPC Limited,16140100.780043,https://www.screener.in/company/NTPC/
M&M,Mahindra & Mahindra Limited,15529961.259648,https://www.screener.in/company/M&M/
POWERGRID,Power Grid Corporation of India Limited,14906542.770368,https://www.screener.in/company/POWERGRID/
COALINDIA,Coal India Limited,13869220.0999135,https://www.screener.in/company/COALINDIA/
TATASTEEL,Tata Steel Limited,13767192.941085,https://www.screener.in/company/TATASTEEL/
HINDZINC,Hindustan Zinc Limited,13592851.223,https://www.screener.in/company/HINDZINC/
PIDILITIND,Pidilite Industries Limited,12962656.1168325,https://www.screener.in/company/PIDILITIND/
LTIM,LTIMindtree Limited,12912784.619566001,https://www.screener.in/company/LTIM/
TATAMOTORS,Tata Motors Limited,12884945.462803,https://www.screener.in/company/TATAMOTORS/
SBILIFE,SBI Life Insurance Company Limited,12322678.301198998,https://www.screener.in/company/SBILIFE/
HDFCLIFE,HDFC Life Insurance Company Limited,12169703.4658125,https://www.screener.in/company/HDFCLIFE/
ADANIPOWER,Adani Power Limited,11553460.5977655,https://www.screener.in/company/ADANIPOWER/
VEDL,Vedanta Limited,11463841.836276,https://www.screener.in/company/VEDL/
GRASIM,Grasim Industries Limited,11347553.05821,https://www.screener.in/company/GRASIM/
IOC,Indian Oil Corporation Limited,10802747.362995,https://www.screener.in/company/IOC/
HINDALCO,Hindalco Industries Limited,10637095.5680975,https://www.screener.in/company/HINDALCO/
AMBUJACEM,Ambuja Cements Limited,10406766.645189,https://www.screener.in/company/AMBUJACEM/
BRITANNIA,Britannia Industries Limited,10375281.416051999,https://www.screener.in/company/BRITANNIA/
BAJAJ-AUTO,Bajaj Auto Limited,10231879.543959001,https://www.screener.in/company/BAJAJ-AUTO/
SIEMENS,Siemens Limited,10065382.88732,https://www.screener.in/company/SIEMENS/
DABUR,Dabur India Limited,9947565.968628,https://www.screener.in/company/DABUR/
TECHM,Tech Mahindra Limited,9895947.297852,https://www.screener.in/company/TECHM/
BANKBARODA,Bank of Baroda,9603219.566403,https://www.screener.in/company/BANKBARODA/
INDUSINDBK,IndusInd Bank Limited,9460838.951844,https://www.screener.in/company/INDUSINDBK/
DLF,DLF Limited,9282431.385,https://www.screener.in/company/DLF/
DIVISLAB,Divi's Laboratories Limited,9060973.57256,https://www.screener.in/company/DIVISLAB/
GODREJCP,Godrej Consumer Products Limited,8938868.426979,https://www.screener.in/company/GODREJCP/
EICHERMOT,Eicher Motors Limited,8827186.79055,https://www.screener.in/company/EICHERMOT/
CIPLA,Cipla Limited,8683706.591604,https://www.screener.in/company/CIPLA/
VBL,Varun Beverages Limited,8590618.49931,https://www.screener.in/company/VBL/
HAL,Hindustan Aeronautics Limited,8464183.59375,https://www.screener.in/company/HAL/
SHREECEM,SHREE CEMENT LIMITED,8403007.765085999,https://www.screener.in/company/SHREECEM/
AWL,Adani Wilmar Limited,8027464.9037825,https://www.screener.in/company/AWL/
