,Company Name,Company Symbol,Marketcap,Current Price,52 Week High,52 Week Low,PE Ratio,Book Value,Dividend Yield,ROCE,ROE,Face Value,Sales,Sales Qtr,Profit after tax,PAT Qtr,Qtr Sales Var,Qtr Profit Var,Dividend yield,Price to book value,Return on assets,Debt to equity,EPS,Debt,Promoter holding,Change in Prom Hold,Enterprise Value,Industry PE,EVEBITDA
0,Reliance Industries Limited,RELIANCE,1612655,2384,2856,2180,25.4,1168,0.34,9.24,7.94,10.0,873898,217164,63606,15792,17.4,-4.08,0.34,2.04,4.66,0.4,94.0,316030,50.5,-0.08,1880427,10.9,12.8
1,Tata Consultancy Services Limited,TCS,1244133,3400,3836,2926,30.6,266,1.26,54.9,43.6,1.0,216887,58229,40681,10846,19.1,11.0,1.26,12.8,28.4,0.08,111.0,7460,72.3,0.0,1244243,27.1,20.5
2,HDFC Bank Limited,HDFCBANK,886295,1589,1722,1272,20.2,446,0.98,5.83,16.6,1.0,158780,45002,43846,12698,30.1,19.9,0.98,3.56,1.94,7.22,78.8,1784970,25.6,-0.04,2515878,12.4,19.5
3,Infosys Limited,INFY,642824,1551,1924,1355,27.2,177,2.0,37.1,29.0,5.0,141602,38318,23653,6586,20.2,13.4,2.0,8.76,19.6,0.1,56.3,7720,15.1,-0.05,638957,27.1,17.4
4,ICICI Bank Limited,ICICIBANK,585945,840,958,642,18.4,262,0.6,5.59,14.8,2.0,111627,31619,31903,8792,30.0,34.5,0.6,3.21,1.6,6.88,45.8,1252968,0.0,0.0,1655788,12.4,18.3
5,Hindustan Unilever Limited,HINDUNILVR,583814,2484,2742,1902,59.0,211,1.37,24.3,18.4,1.0,59132,15597,9891,2549,16.1,8.64,1.37,11.8,12.8,0.02,41.8,1139,61.9,0.0,581002,59.2,40.6
6,State Bank of India,SBIN,465195,521,630,425,9.88,342,1.36,4.44,12.2,1.0,327369,91518,47103,15477,24.7,62.0,1.36,1.52,0.73,14.8,52.8,4536570,57.5,-0.02,4602861,10.6,19.0
7,Housing Development Finance Corporation Limited,HDFC,471367,2577,2934,2026,18.9,1011,1.16,8.6,13.4,2.0,143353,41206,24996,6675,31.7,14.4,1.16,2.55,2.68,2.92,137.0,539820,0.0,0.0,1008348,21.2,15.6
8,Bharti Airtel Limited,BHARTIARTL,437045,757,877,629,60.1,131,0.4,12.0,5.86,5.0,134636,35804,7275,1877,19.9,130.0,0.4,5.78,2.04,2.99,12.8,217989,55.1,-0.01,643144,41.6,9.17
9,Adani Enterprises Limited,ADANIENT,149881,1316,4190,1017,77.0,277,0.08,7.15,3.93,1.0,130497,26612,1945,740,41.9,41004.0,0.08,4.75,1.03,1.31,18.1,41191,72.6,0.0,187121,32.1,24.6
10,Life Insurance Corporation Of India,LICI,369728,585,920,582,13.6,42.4,0.26,133.0,45.3,10.0,795620,197714,27210,8344,13.1,3849.0,0.26,13.8,0.1,0.0,43.0,0.0,96.5,0.0,341178,49.4,12.4
